City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Santander,ES,2021-10-21 22:42:26,43.4647,-3.8044,287.29,85,20,2.24
170,Zhuanghe,CN,2021-10-21 22:39:13,39.7008,122.9911,280.8,61,24,3.29
171,Pasni,PK,2021-10-21 22:42:27,25.2631,63.471,298.35,76,2,4.46
172,Cidreira,BR,2021-10-21 22:42:27,-30.1811,-50.2056,291.49,82,8,7.25
173,Vung Tau,VN,2021-10-21 22:42:28,10.346,107.0843,299.55,84,100,3.36
174,Missoula,US,2021-10-21 22:42:28,47.0166,-113.8009,287.33,48,42,1.62
175,Villamontes,BO,2021-10-21 22:42:29,-21.25,-63.5,302.18,32,21,1.01
176,Waipawa,NZ,2021-10-21 22:40:22,-41.4122,175.5153,287.76,56,100,3.54
177,Thompson,CA,2021-10-21 22:42:04,55.7435,-97.8558,274.24,75,75,2.57
178,New Norfolk,AU,2021-10-21 22:42:29,-42.7826,147.0587,292.4,62,89,0.89
179,Knoxville,US,2021-10-21 22:42:09,35.9606,-83.9207,295.29,84,90,0.0
180,San Jose,US,2021-10-21 22:41:13,37.3394,-121.895,299.14,60,75,0.45
181,Ndele,CF,2021-10-21 22:42:30,8.4109,20.6473,294.46,94,100,0.95
182,Ribeira Grande,PT,2021-10-21 22:41:06,38.5167,-28.7,293.78,70,99,5.41
183,Srednekolymsk,RU,2021-10-21 22:42:31,67.45,153.6833,251.21,98,84,1.33
184,Neiafu,TO,2021-10-21 22:42:31,-18.65,-173.9833,300.53,69,40,3.6
185,Boyolangu,ID,2021-10-21 22:42:31,-8.1181,111.8935,298.24,86,100,1.46
186,Fort Nelson,CA,2021-10-21 22:40:25,58.8053,-122.7002,273.92,86,20,2.06
187,Amatan,MX,2021-10-21 22:42:32,17.35,-92.75,296.22,98,100,0.94
188,Prince Rupert,CA,2021-10-21 22:42:23,54.3161,-130.3201,288.2,57,90,6.69
189,Trairi,BR,2021-10-21 22:40:55,-3.2778,-39.2689,299.9,78,100,4.35
190,Anadyr,RU,2021-10-21 22:38:47,64.75,177.4833,267.43,93,75,1.0
191,Westport,US,2021-10-21 22:41:43,41.1415,-73.3579,293.57,83,1,3.58
192,Gulu,UG,2021-10-21 22:42:33,2.7746,32.299,291.39,96,98,1.44
193,Lalmohan,BD,2021-10-21 22:42:33,22.3384,90.7419,298.15,75,65,1.47
194,Karratha,AU,2021-10-21 22:38:10,-20.7377,116.8463,300.04,27,0,5.69
195,Caxias,PT,2021-10-21 22:42:34,38.7031,-9.2767,289.84,72,0,1.79
196,Idrinskoye,RU,2021-10-21 22:42:34,54.3708,92.1358,275.44,72,88,1.84
197,Pringsewu,ID,2021-10-21 22:42:35,-5.3582,104.9744,296.59,93,100,1.15
198,Bredy,RU,2021-10-21 22:42:35,52.4153,60.3411,273.52,97,100,9.6
199,Hervey Bay,AU,2021-10-21 22:42:36,-25.2986,152.8535,299.84,72,17,4.8
200,Copala,MX,2021-10-21 22:42:36,16.65,-98.9833,299.71,85,98,1.82
201,Salalah,OM,2021-10-21 22:38:10,17.0151,54.0924,298.2,73,20,2.06
202,Narsaq,GL,2021-10-21 22:42:37,60.9167,-46.05,272.27,39,100,2.04
203,Deputatskiy,RU,2021-10-21 22:37:51,69.3,139.9,253.16,100,100,1.63
204,Sitka,US,2021-10-21 22:42:37,57.0531,-135.33,284.09,62,90,6.17
205,Belmonte,BR,2021-10-21 22:42:38,-15.8631,-38.8828,296.43,90,100,4.32
206,Balkhash,KZ,2021-10-21 22:42:38,46.844,74.9804,278.65,55,100,8.15
207,Quatre Cocos,MU,2021-10-21 22:42:38,-20.2078,57.7625,296.53,79,47,4.46
208,Lensk,RU,2021-10-21 22:42:39,60.7253,114.9278,274.9,88,80,4.52
209,Salinopolis,BR,2021-10-21 22:42:39,-0.6136,-47.3561,299.85,82,83,3.58
210,Birao,CF,2021-10-21 22:42:39,10.2849,22.7882,296.65,75,100,1.62
211,Chapais,CA,2021-10-21 22:39:27,49.7834,-74.8492,277.03,84,100,1.6
212,Tianpeng,CN,2021-10-21 22:42:35,30.9866,103.9393,286.28,85,100,1.4
213,Dawei,MM,2021-10-21 22:42:40,14.0833,98.2,297.05,91,100,1.26
214,Pointe Michel,DM,2021-10-21 22:42:41,15.25,-61.3833,301.31,71,16,9.12
215,Georgetown,MY,2021-10-21 22:37:58,5.4112,100.3354,299.11,89,20,0.0
216,Natal,BR,2021-10-21 22:42:41,-5.795,-35.2094,300.51,83,40,4.12
217,Rodrigues Alves,BR,2021-10-21 22:42:42,-7.738,-72.6509,304.26,63,99,1.58
218,Pacifica,US,2021-10-21 22:42:42,37.6138,-122.4869,299.0,91,75,1.34
219,Provideniya,RU,2021-10-21 22:40:33,64.3833,-173.3,270.21,63,75,6.0
220,Margate,GB,2021-10-21 22:42:05,51.3813,1.3862,281.87,75,10,0.89
221,Meulaboh,ID,2021-10-21 22:38:51,4.1363,96.1285,297.48,90,96,1.24
222,Port Elizabeth,ZA,2021-10-21 22:38:52,-33.918,25.5701,291.31,88,20,6.69
223,Tomatlan,MX,2021-10-21 22:40:36,19.9333,-105.25,303.15,72,33,3.75
224,Sur,OM,2021-10-21 22:39:06,22.5667,59.5289,299.2,64,4,4.19
225,Cap Malheureux,MU,2021-10-21 22:41:59,-19.9842,57.6142,296.74,76,51,2.24
226,Muscat,OM,2021-10-21 22:42:25,23.6139,58.5922,301.16,63,0,1.11
227,Bindura,ZW,2021-10-21 22:42:44,-17.3019,31.3306,290.61,64,94,0.97
228,Puerto Escondido,MX,2021-10-21 22:42:44,15.85,-97.0667,301.61,65,90,2.57
229,Kodiak,US,2021-10-21 22:40:50,57.79,-152.4072,278.88,81,90,3.6
230,Cayenne,GF,2021-10-21 22:39:57,4.9333,-52.3333,301.17,82,75,3.13
231,Montrose,US,2021-10-21 22:42:45,38.4166,-108.2673,285.34,20,65,1.0
232,San Juan Del Cesar,CO,2021-10-21 22:42:45,10.7711,-73.0031,299.32,77,27,1.77
233,Thinadhoo,MV,2021-10-21 22:42:46,0.5333,72.9333,301.2,70,39,4.77
234,Bongandanga,CD,2021-10-21 22:42:46,1.5,21.05,293.36,99,100,0.95
235,Jimo,CN,2021-10-21 22:42:47,36.3897,120.4622,280.03,87,1,1.0
236,Dudinka,RU,2021-10-21 22:42:47,69.4058,86.1778,267.54,96,100,2.42
237,Okha,RU,2021-10-21 22:42:47,53.5739,142.9478,274.93,87,99,4.95
238,Narwar,IN,2021-10-21 22:42:48,25.65,77.9,292.71,57,0,4.14
239,Tanout,NE,2021-10-21 22:42:48,14.9709,8.8879,304.03,21,6,4.2
240,Millinocket,US,2021-10-21 22:42:49,45.6573,-68.7098,287.23,94,90,0.0
241,Malumfashi,NG,2021-10-21 22:42:49,11.7853,7.6218,298.76,45,20,2.62
242,Vanavara,RU,2021-10-21 22:42:49,60.34,102.2797,272.47,92,31,2.49
243,Gushikawa,JP,2021-10-21 22:42:50,26.3544,127.8686,295.72,88,90,3.09
244,Sabzevar,IR,2021-10-21 22:42:50,36.2126,57.6819,281.51,57,0,3.39
245,Kutahya,TR,2021-10-21 22:42:50,39.4242,29.9833,277.09,53,0,1.16
246,Acapulco,MX,2021-10-21 22:41:53,16.8634,-99.8901,302.05,79,90,2.06
247,Leningradskiy,RU,2021-10-21 22:39:57,69.3833,178.4167,261.03,89,85,6.61
248,Namatanai,PG,2021-10-21 22:42:51,-3.6667,152.4333,301.64,73,88,2.76
249,Mount Isa,AU,2021-10-21 22:40:15,-20.7333,139.5,302.02,45,0,3.6
250,Bethel,US,2021-10-21 22:39:17,41.3712,-73.414,292.59,76,62,2.73
251,Lavrentiya,RU,2021-10-21 22:42:52,65.5833,-171.0,268.4,91,60,1.71
252,Rio Grande,BR,2021-10-21 22:38:23,-32.035,-52.0986,289.79,75,20,4.48
253,Slave Lake,CA,2021-10-21 22:42:53,55.2834,-114.769,282.14,43,1,4.12
254,Conceicao Da Barra,BR,2021-10-21 22:42:53,-18.5933,-39.7322,294.45,87,100,4.46
255,Vostok,RU,2021-10-21 22:38:30,46.4856,135.8833,270.19,84,94,1.76
256,Baneh,IR,2021-10-21 22:42:54,35.9975,45.8853,280.76,70,0,3.22
257,Yol,IN,2021-10-21 22:42:54,32.1667,76.2,292.08,36,18,3.38
258,Khandyga,RU,2021-10-21 22:42:54,62.6667,135.6,267.13,95,100,3.73
