City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
302,Troitskoye,RU,52.9821,84.6757,30.76,67,21,5.7,few clouds
303,Mollendo,PE,-17.0231,-72.0147,68.23,74,65,8.52,broken clouds
304,Eureka,US,40.8021,-124.1637,68.18,79,6,1.99,clear sky
305,Qinhuangdao,CN,39.9317,119.5883,52.54,65,49,3.18,scattered clouds
306,Sola,VU,-13.8833,167.55,79.47,83,40,0.0,scattered clouds
307,San Quintin,MX,30.4833,-115.95,75.87,36,0,5.97,clear sky
308,Harrisonburg,US,38.4496,-78.8689,63.21,80,90,3.44,overcast clouds
309,Toledo,ES,39.8333,-4.0,65.86,44,100,7.85,overcast clouds
310,Nemuro,JP,43.3236,145.575,48.34,78,60,15.5,broken clouds
311,Pyaozerskiy,RU,65.8333,31.1667,34.0,97,100,11.79,overcast clouds
312,Fairbanks,US,64.8378,-147.7164,22.3,93,90,3.44,fog
313,Mar Del Plata,AR,-38.0023,-57.5575,93.22,85,0,14.0,clear sky
314,Wakkanai,JP,45.4094,141.6739,48.49,82,100,25.26,overcast clouds
315,Sao Felix Do Xingu,BR,-6.6447,-51.995,99.5,23,42,1.28,scattered clouds
316,Gravdal,NO,68.1214,13.5031,46.08,88,100,15.12,overcast clouds
317,Kaitangata,NZ,-46.2817,169.8464,52.09,90,61,2.8,broken clouds
318,Illapel,CL,-31.6308,-71.1653,84.88,34,98,9.33,overcast clouds
319,Nara,JP,34.6851,135.8049,61.88,60,0,0.81,clear sky
320,Srednebelaya,RU,50.6594,128.0106,35.98,80,12,8.48,few clouds
321,Huarmey,PE,-10.0681,-78.1522,70.2,72,60,12.57,broken clouds
322,Tautira,PF,-17.7333,-149.15,80.62,83,22,11.68,moderate rain
323,Krutaya Gorka,RU,55.3649,73.2231,38.88,52,81,17.11,broken clouds
324,Thinadhoo,MV,0.5333,72.9333,82.63,75,100,14.25,overcast clouds
325,Dingle,PH,10.9995,122.6711,74.97,92,83,7.02,broken clouds
326,Kargasok,RU,59.0556,80.8572,33.21,67,100,16.11,overcast clouds
327,Nichinan,JP,31.6,131.3667,55.76,77,0,14.16,clear sky
328,Kamenka,RU,51.3223,42.7678,44.33,92,100,10.31,overcast clouds
329,Constitucion,CL,-35.3333,-72.4167,66.97,59,9,16.82,clear sky
330,Kaeo,NZ,-35.1,173.7833,58.32,97,42,6.42,scattered clouds
331,Sampit,ID,-2.5333,112.95,74.16,99,100,2.37,overcast clouds
332,Tatawin,TN,32.9297,10.4518,72.48,51,5,3.74,clear sky
333,Portobelo,PA,9.55,-79.65,86.61,77,100,4.16,overcast clouds
334,Cedar City,US,37.6775,-113.0619,57.4,46,1,16.11,clear sky
335,College,US,64.8569,-147.8028,24.75,91,90,4.61,mist
336,Hovd,MN,48.0056,91.6419,35.91,52,78,3.94,broken clouds
337,Mumford,GH,5.2618,-0.759,79.25,82,50,4.52,scattered clouds
338,Chumphon,TH,10.3333,98.8333,71.62,98,100,2.77,light rain
339,Lazurne,UA,46.084,32.5295,52.74,69,88,6.55,overcast clouds
340,Puerto Narino,CO,-3.7703,-70.3831,84.15,65,85,2.93,overcast clouds
341,Rawson,AR,-43.3002,-65.1023,68.18,41,14,11.95,few clouds
342,Leninsk-Kuznetskiy,RU,54.6567,86.1737,23.31,58,100,7.78,overcast clouds
343,Burntwood,GB,52.6808,-1.9276,57.63,90,100,5.99,moderate rain
344,Hualmay,PE,-11.0964,-77.6139,68.83,72,47,10.4,scattered clouds
345,Bairiki,KI,1.3292,172.9752,80.6,78,20,8.05,few clouds
